year,zone,sex,age_group,population,hypertension_count,prevalence_rate
2017-01-01T00:00:00.000,Zone 4 - Central,F,50 to 59,36922,10112,27.39
2017-01-01T00:00:00.000,Zone 4 - Central,F,60 to 69,29882,14078,47.11
2017-01-01T00:00:00.000,Zone 4 - Central,F,70 to 79,18463,12713,68.86
2017-01-01T00:00:00.000,Zone 4 - Central,F,80 +,11782,9869,83.76
2017-01-01T00:00:00.000,Zone 4 - Central,M,20 to 29,33594,358,1.07
2017-01-01T00:00:00.000,Zone 4 - Central,M,30 to 39,33802,1651,4.88
2017-01-01T00:00:00.000,Zone 4 - Central,M,40 to 49,32595,4448,13.65
2017-01-01T00:00:00.000,Zone 4 - Central,M,50 to 59,35700,10602,29.70
2017-01-01T00:00:00.000,Zone 4 - Central,M,60 to 69,27894,14105,50.57
2017-01-01T00:00:00.000,Zone 4 - Central,M,70 to 79,16298,11341,69.59
2017-01-01T00:00:00.000,Zone 4 - Central,M,80 +,7549,6064,80.33
2017-01-01T00:00:00.000,Zone 3 - Eastern,F,20 to 29,9228,140,1.52
2017-01-01T00:00:00.000,Zone 3 - Eastern,F,30 to 39,9470,647,6.83
2017-01-01T00:00:00.000,Zone 3 - Eastern,F,40 to 49,10598,2055,19.39
2017-01-01T00:00:00.000,Zone 3 - Eastern,F,50 to 59,14161,5153,36.39
2017-01-01T00:00:00.000,Zone 3 - Eastern,F,60 to 69,14359,7908,55.07
2017-01-01T00:00:00.000,Zone 3 - Eastern,F,70 to 79,9446,7118,75.35
2017-01-01T00:00:00.000,Zone 3 - Eastern,F,80 +,6264,5420,86.53
2017-01-01T00:00:00.000,Zone 3 - Eastern,M,20 to 29,9658,170,1.76
2017-01-01T00:00:00.000,Zone 3 - Eastern,M,30 to 39,9615,681,7.08
2017-01-01T00:00:00.000,Zone 3 - Eastern,M,40 to 49,10586,2040,19.27
2017-01-01T00:00:00.000,Zone 3 - Eastern,M,50 to 59,13650,5025,36.81
2017-01-01T00:00:00.000,Zone 3 - Eastern,M,60 to 69,13971,7888,56.46
2017-01-01T00:00:00.000,Zone 3 - Eastern,M,70 to 79,8653,6320,73.04
2017-01-01T00:00:00.000,Zone 3 - Eastern,M,80 +,3962,3245,81.90
2017-01-01T00:00:00.000,Zone 2 - Northern,F,20 to 29,8794,110,1.25
2017-01-01T00:00:00.000,Zone 2 - Northern,F,30 to 39,9229,589,6.38
2017-01-01T00:00:00.000,Zone 2 - Northern,F,40 to 49,10791,1813,16.80
2017-01-01T00:00:00.000,Zone 2 - Northern,F,50 to 59,13115,4310,32.86
2017-01-01T00:00:00.000,Zone 2 - Northern,F,60 to 69,12191,6497,53.29
2017-01-01T00:00:00.000,Zone 2 - Northern,F,70 to 79,7883,5706,72.38
2017-01-01T00:00:00.000,Zone 2 - Northern,F,80 +,5249,4494,85.62
2017-01-01T00:00:00.000,Zone 2 - Northern,M,20 to 29,9164,136,1.48
2017-01-01T00:00:00.000,Zone 2 - Northern,M,30 to 39,9034,593,6.56
2017-01-01T00:00:00.000,Zone 2 - Northern,M,40 to 49,10639,1807,16.98
2017-01-01T00:00:00.000,Zone 2 - Northern,M,50 to 59,12754,4516,35.41
2017-01-01T00:00:00.000,Zone 2 - Northern,M,60 to 69,11970,6619,55.30
2017-01-01T00:00:00.000,Zone 2 - Northern,M,70 to 79,7408,5400,72.89
2017-01-01T00:00:00.000,Zone 2 - Northern,M,80 +,3515,2875,81.79
2017-01-01T00:00:00.000,Zone 1 - Western,F,20 to 29,10880,125,1.15
2017-01-01T00:00:00.000,Zone 1 - Western,F,30 to 39,11567,690,5.97
2017-01-01T00:00:00.000,Zone 1 - Western,F,40 to 49,13378,2098,15.68
2017-01-01T00:00:00.000,Zone 1 - Western,F,50 to 59,18197,5516,30.31
2017-01-01T00:00:00.000,Zone 1 - Western,F,60 to 69,17531,8618,49.16
2017-01-01T00:00:00.000,Zone 1 - Western,F,70 to 79,11671,8157,69.89
